TargetID,GI_21729887-A,GI_23312375-A,GI_4585642-S,GI_5453687-S
C,False,False,True,False
C,False,False,True,False
C,False,False,True,False
C,True,True,True,False
C,True,False,True,False
C,False,False,True,True
C,False,False,True,True
C,False,True,True,False
C,False,False,True,True
C,False,False,True,False
C,True,False,True,False
C,False,False,False,False
C,False,False,False,False
C,False,False,True,False
C,False,False,True,False
